Datum,Rohertrag_daily
2014-05-16,28088.0598356164
2014-05-17,28088.0598356164
2014-05-18,28088.0598356164
2014-05-19,28088.0598356164
2014-05-20,28088.0598356164
2014-05-21,28088.0598356164
2014-05-22,28088.0598356164
2014-05-23,28088.0598356164
2014-05-24,28088.0598356164
2014-05-25,28088.0598356164
2014-05-26,28088.0598356164
2014-05-27,28088.0598356164
2014-05-28,28088.0598356164
2014-05-29,28088.0598356164
2014-05-30,28088.0598356164
2014-05-31,28088.0598356164
2014-06-01,28088.0598356164
2014-06-02,28088.0598356164
2014-06-03,28088.0598356164
2014-06-04,28088.0598356164
2014-06-05,28088.0598356164
2014-06-06,28088.0598356164
2014-06-07,28088.0598356164
2014-06-08,28088.0598356164
2014-06-09,28088.0598356164
2014-06-10,28088.0598356164
2014-06-11,28088.0598356164
2014-06-12,28088.0598356164
2014-06-13,28088.0598356164
2014-06-14,28088.0598356164
2014-06-15,28088.0598356164
2014-06-16,28088.0598356164
2014-06-17,28088.0598356164
2014-06-18,28088.0598356164
2014-06-19,28088.0598356164
2014-06-20,28088.0598356164
2014-06-21,28088.0598356164
2014-06-22,28088.0598356164
2014-06-23,28088.0598356164
2014-06-24,28088.0598356164
2014-06-25,28088.0598356164
2014-06-26,28088.0598356164
2014-06-27,28088.0598356164
2014-06-28,28088.0598356164
2014-06-29,28088.0598356164
2014-06-30,28088.0598356164
2014-07-01,28088.0598356164
2014-07-02,28088.0598356164
2014-07-03,28088.0598356164
2014-07-04,28088.0598356164
2014-07-05,28088.0598356164
2014-07-06,28088.0598356164
2014-07-07,28088.0598356164
2014-07-08,28088.0598356164
2014-07-09,28088.0598356164
2014-07-10,28088.0598356164
2014-07-11,28088.0598356164
2014-07-12,28088.0598356164
2014-07-13,28088.0598356164
2014-07-14,28088.0598356164
2014-07-15,28088.0598356164
2014-07-16,28088.0598356164
2014-07-17,28088.0598356164
2014-07-18,28088.0598356164
2014-07-19,28088.0598356164
2014-07-20,28088.0598356164
2014-07-21,28088.0598356164
2014-07-22,28088.0598356164
2014-07-23,28088.0598356164
2014-07-24,28088.0598356164
2014-07-25,28088.0598356164
2014-07-26,28088.0598356164
2014-07-27,28088.0598356164
2014-07-28,28088.0598356164
2014-07-29,28088.0598356164
2014-07-30,28088.0598356164
2014-07-31,28088.0598356164
2014-08-01,28088.0598356164
2014-08-02,28088.0598356164
2014-08-03,28088.0598356164
2014-08-04,28088.0598356164
2014-08-05,28088.0598356164
2014-08-06,28088.0598356164
2014-08-07,28088.0598356164
2014-08-08,28088.0598356164
2014-08-09,28088.0598356164
2014-08-10,28088.0598356164
2014-08-11,28088.0598356164
2014-08-12,28088.0598356164
2014-08-13,28088.0598356164
2014-08-14,28088.0598356164
2014-08-15,28088.0598356164
2014-08-16,28088.0598356164
2014-08-17,28088.0598356164
2014-08-18,28088.0598356164
2014-08-19,28088.0598356164
2014-08-20,28088.0598356164
2014-08-21,28088.0598356164
2014-08-22,28088.0598356164
2014-08-23,28088.0598356164
2014-08-24,28088.0598356164
2014-08-25,28088.0598356164
2014-08-26,28088.0598356164
2014-08-27,28088.0598356164
2014-08-28,28088.0598356164
2014-08-29,28088.0598356164
2014-08-30,28088.0598356164
2014-08-31,28088.0598356164
2014-09-01,28088.0598356164
2014-09-02,28088.0598356164
2014-09-03,28088.0598356164
2014-09-04,28088.0598356164
2014-09-05,28088.0598356164
2014-09-06,28088.0598356164
2014-09-07,28088.0598356164
2014-09-08,28088.0598356164
2014-09-09,28088.0598356164
2014-09-10,28088.0598356164
2014-09-11,28088.0598356164
2014-09-12,28088.0598356164
2014-09-13,28088.0598356164
2014-09-14,28088.0598356164
2014-09-15,28088.0598356164
2014-09-16,28088.0598356164
2014-09-17,28088.0598356164
2014-09-18,28088.0598356164
2014-09-19,28088.0598356164
2014-09-20,28088.0598356164
2014-09-21,28088.0598356164
2014-09-22,28088.0598356164
2014-09-23,28088.0598356164
2014-09-24,28088.0598356164
2014-09-25,28088.0598356164
2014-09-26,28088.0598356164
2014-09-27,28088.0598356164
2014-09-28,28088.0598356164
2014-09-29,28088.0598356164
