Datum,Passagiere_Ein,Passagiere_Aus,Passagiere_gesamt,Passagier-PKW_Ein,Passagier-PKW_Aus,Passagier-PKW_gesamt,PKW-Anhaenger_Ein,PKW-Anhaenger_Aus,PKW-Anhaenger_gesamt,Omnibusse_Ein,Omnibusse_Aus,Omnibusse_gesamt,Motorraeder_Ein,Motorraeder_Aus,Motorraeder_gesamt
2013-04-30,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-01,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-02,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-03,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-04,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-05,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-06,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-07,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-08,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-09,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-10,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-11,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-12,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-13,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-14,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-15,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-16,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-17,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-18,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
2013-05-19,2175.4191780821916,2144.3561643835615,4319.775342465753,263.50958904109586,266.5150684931507,530.0246575342466,8.956164383561644,9.945205479452055,18.9013698630137,9.92054794520548,12.005479452054795,21.926027397260274,7.668493150684932,7.153424657534247,14.821917808219178
