Passagiere_ins_abs,pas_faehrverkehr_absolut,pas_ausflugsverkehr_absolut,pas_kreuzfahrt_absolut,anzahl_Kreuzfahrtschiff_absolut,Datum
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-04-30
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-01
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-02
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-03
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-04
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-05
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-06
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-07
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-08
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-09
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-10
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-11
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-12
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-13
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-14
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-15
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-16
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-17
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-18
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-19
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-20
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-21
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-22
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-23
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-24
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-25
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-26
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-27
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-28
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-29
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-30
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-05-31
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-01
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-02
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-03
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-04
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-05
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-06
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-07
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-08
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-09
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-10
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-11
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-12
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-13
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-14
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-15
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-16
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-17
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-18
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-19
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-20
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-21
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-22
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-23
5468.945205479452,4319.775342465753,153.34520547945206,995.8246575342466,0.3506849315068493,2013-06-24
