Datum;Ferien
25.07.2017;1
26.07.2017;1
27.07.2017;1
28.07.2017;1
29.07.2017;1
30.07.2017;1
31.07.2017;1
01.08.2017;1
02.08.2017;1
03.08.2017;1
04.08.2017;1
05.08.2017;1
06.08.2017;1
07.08.2017;1
08.08.2017;1
09.08.2017;1
10.08.2017;1
11.08.2017;1
12.08.2017;1
13.08.2017;1
14.08.2017;1
15.08.2017;1
16.08.2017;1
17.08.2017;1
18.08.2017;1
19.08.2017;1
20.08.2017;1
21.08.2017;1
22.08.2017;1
23.08.2017;1
24.08.2017;1
25.08.2017;1
26.08.2017;1
27.08.2017;1
28.08.2017;1
29.08.2017;1
30.08.2017;1
31.08.2017;1
01.09.2017;1
02.09.2017;1
16.10.2017;1
17.10.2017;1
18.10.2017;1
19.10.2017;1
20.10.2017;1
21.10.2017;1
22.10.2017;1
23.10.2017;1
24.10.2017;1
25.10.2017;1
26.10.2017;1
27.10.2017;1
21.12.2017;1
22.12.2017;1
23.12.2017;1
24.12.2017;1
25.12.2017;1
26.12.2017;1
27.12.2017;1
28.12.2017;1
29.12.2017;1
30.12.2017;1
31.12.2017;1
01.01.2018;1
02.01.2018;1
03.01.2018;1
04.01.2018;1
05.01.2018;1
06.01.2018;1
29.03.2018;1
30.03.2018;1
31.03.2018;1
01.04.2018;1
02.04.2018;1
03.04.2018;1
04.04.2018;1
05.04.2018;1
06.04.2018;1
07.04.2018;1
08.04.2018;1
09.04.2018;1
10.04.2018;1
11.04.2018;1
12.04.2018;1
13.04.2018;1
09.07.2018;1
10.07.2018;1
11.07.2018;1
12.07.2018;1
13.07.2018;1
14.07.2018;1
15.07.2018;1
16.07.2018;1
17.07.2018;1
18.07.2018;1
19.07.2018;1
20.07.2018;1
21.07.2018;1
22.07.2018;1
23.07.2018;1
24.07.2018;1
25.07.2018;1
26.07.2018;1
27.07.2018;1
28.07.2018;1
29.07.2018;1
30.07.2018;1
31.07.2018;1
01.08.2018;1
02.08.2018;1
03.08.2018;1
04.08.2018;1
05.08.2018;1
06.08.2018;1
07.08.2018;1
08.08.2018;1
09.08.2018;1
10.08.2018;1
11.08.2018;1
12.08.2018;1
13.08.2018;1
14.08.2018;1
15.08.2018;1
16.08.2018;1
17.08.2018;1
18.08.2018;1
01.10.2018;1
02.10.2018;1
03.10.2018;1
04.10.2018;1
05.10.2018;1
06.10.2018;1
07.10.2018;1
08.10.2018;1
09.10.2018;1
10.10.2018;1
11.10.2018;1
12.10.2018;1
13.10.2018;1
14.10.2018;1
15.10.2018;1
16.10.2018;1
17.10.2018;1
18.10.2018;1
19.10.2018;1
21.12.2018;1
22.12.2018;1
23.12.2018;1
24.12.2018;1
25.12.2018;1
26.12.2018;1
27.12.2018;1
28.12.2018;1
29.12.2018;1
30.12.2018;1
31.12.2018;1
01.01.2019;1
02.01.2019;1
03.01.2019;1
04.01.2019;1
04.04.2019;1
05.04.2019;1
06.04.2019;1
07.04.2019;1
08.04.2019;1
09.04.2019;1
10.04.2019;1
11.04.2019;1
12.04.2019;1
13.04.2019;1
14.04.2019;1
15.04.2019;1
16.04.2019;1
17.04.2019;1
18.04.2019;1
31.05.2019;1
01.07.2019;1
02.07.2019;1
03.07.2019;1
04.07.2019;1
05.07.2019;1
06.07.2019;1
07.07.2019;1
08.07.2019;1
09.07.2019;1
10.07.2019;1
11.07.2019;1
12.07.2019;1
13.07.2019;1
14.07.2019;1
15.07.2019;1
16.07.2019;1
17.07.2019;1
18.07.2019;1
19.07.2019;1
