Datum,uebernachtungen
2013-04-30,1252.8011049723757
2013-05-01,2068.358695652174
2013-05-02,2068.358695652174
2013-05-03,2068.358695652174
2013-05-04,2068.358695652174
2013-05-05,2068.358695652174
2013-05-06,2068.358695652174
2013-05-07,2068.358695652174
2013-05-08,2068.358695652174
2013-05-09,2068.358695652174
2013-05-10,2068.358695652174
2013-05-11,2068.358695652174
2013-05-12,2068.358695652174
2013-05-13,2068.358695652174
2013-05-14,2068.358695652174
2013-05-15,2068.358695652174
2013-05-16,2068.358695652174
2013-05-17,2068.358695652174
2013-05-18,2068.358695652174
2013-05-19,2068.358695652174
2013-05-20,2068.358695652174
2013-05-21,2068.358695652174
2013-05-22,2068.358695652174
2013-05-23,2068.358695652174
2013-05-24,2068.358695652174
2013-05-25,2068.358695652174
2013-05-26,2068.358695652174
2013-05-27,2068.358695652174
2013-05-28,2068.358695652174
2013-05-29,2068.358695652174
2013-05-30,2068.358695652174
2013-05-31,2068.358695652174
2013-06-01,2068.358695652174
2013-06-02,2068.358695652174
2013-06-03,2068.358695652174
2013-06-04,2068.358695652174
2013-06-05,2068.358695652174
2013-06-06,2068.358695652174
2013-06-07,2068.358695652174
2013-06-08,2068.358695652174
2013-06-09,2068.358695652174
2013-06-10,2068.358695652174
2013-06-11,2068.358695652174
2013-06-12,2068.358695652174
2013-06-13,2068.358695652174
2013-06-14,2068.358695652174
2013-06-15,2068.358695652174
2013-06-16,2068.358695652174
2013-06-17,2068.358695652174
2013-06-18,2068.358695652174
2013-06-19,2068.358695652174
2013-06-20,2068.358695652174
2013-06-21,2068.358695652174
2013-06-22,2068.358695652174
2013-06-23,2068.358695652174
2013-06-24,2068.358695652174
2013-06-25,2068.358695652174
2013-06-26,2068.358695652174
2013-06-27,2068.358695652174
2013-06-28,2068.358695652174
2013-06-29,2068.358695652174
2013-06-30,2068.358695652174
2013-07-01,2068.358695652174
2013-07-02,2068.358695652174
2013-07-03,2068.358695652174
2013-07-04,2068.358695652174
2013-07-05,2068.358695652174
2013-07-06,2068.358695652174
2013-07-07,2068.358695652174
2013-07-08,2068.358695652174
2013-07-09,2068.358695652174
2013-07-10,2068.358695652174
2013-07-11,2068.358695652174
2013-07-12,2068.358695652174
2013-07-13,2068.358695652174
2013-07-14,2068.358695652174
2013-07-15,2068.358695652174
2013-07-16,2068.358695652174
2013-07-17,2068.358695652174
2013-07-18,2068.358695652174
2013-07-19,2068.358695652174
2013-07-20,2068.358695652174
2013-07-21,2068.358695652174
2013-07-22,2068.358695652174
2013-07-23,2068.358695652174
2013-07-24,2068.358695652174
