pas_faehrverkehr_absolut,pas_ausflugsverkehr_absolut,pas_kreuzfahrt_absolut,Datum
4319.775342465753,153.34520547945206,995.8246575342466,2013-04-30
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-01
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-02
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-03
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-04
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-05
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-06
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-07
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-08
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-09
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-10
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-11
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-12
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-13
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-14
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-15
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-16
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-17
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-18
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-19
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-20
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-21
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-22
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-23
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-24
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-25
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-26
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-27
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-28
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-29
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-30
4319.775342465753,153.34520547945206,995.8246575342466,2013-05-31
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-01
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-02
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-03
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-04
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-05
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-06
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-07
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-08
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-09
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-10
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-11
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-12
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-13
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-14
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-15
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-16
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-17
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-18
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-19
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-20
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-21
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-22
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-23
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-24
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-25
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-26
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-27
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-28
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-29
4319.775342465753,153.34520547945206,995.8246575342466,2013-06-30
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-01
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-02
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-03
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-04
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-05
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-06
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-07
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-08
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-09
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-10
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-11
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-12
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-13
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-14
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-15
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-16
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-17
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-18
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-19
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-20
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-21
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-22
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-23
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-24
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-25
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-26
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-27
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-28
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-29
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-30
4319.775342465753,153.34520547945206,995.8246575342466,2013-07-31
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-01
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-02
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-03
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-04
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-05
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-06
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-07
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-08
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-09
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-10
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-11
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-12
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-13
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-14
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-15
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-16
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-17
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-18
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-19
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-20
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-21
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-22
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-23
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-24
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-25
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-26
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-27
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-28
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-29
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-30
4319.775342465753,153.34520547945206,995.8246575342466,2013-08-31
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-01
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-02
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-03
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-04
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-05
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-06
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-07
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-08
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-09
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-10
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-11
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-12
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-13
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-14
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-15
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-16
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-17
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-18
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-19
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-20
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-21
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-22
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-23
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-24
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-25
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-26
4319.775342465753,153.34520547945206,995.8246575342466,2013-09-27
