Datum,avg_Ankuenfte_ins_absolut,avg_uebernachtungen_ins_absolut
2016-08-26,1267.5806451612902,2438.9032258064517
2016-08-27,1267.5806451612902,2438.9032258064517
2016-08-28,1267.5806451612902,2438.9032258064517
2016-08-29,1267.5806451612902,2438.9032258064517
2016-08-30,1267.5806451612902,2438.9032258064517
2016-08-31,1267.5806451612902,2438.9032258064517
2016-09-01,1139.9333333333334,2161.133333333333
2016-09-02,1139.9333333333334,2161.133333333333
2016-09-03,1139.9333333333334,2161.133333333333
2016-09-04,1139.9333333333334,2161.133333333333
2016-09-05,1139.9333333333334,2161.133333333333
2016-09-06,1139.9333333333334,2161.133333333333
2016-09-07,1139.9333333333334,2161.133333333333
2016-09-08,1139.9333333333334,2161.133333333333
2016-09-09,1139.9333333333334,2161.133333333333
2016-09-10,1139.9333333333334,2161.133333333333
2016-09-11,1139.9333333333334,2161.133333333333
2016-09-12,1139.9333333333334,2161.133333333333
2016-09-13,1139.9333333333334,2161.133333333333
2016-09-14,1139.9333333333334,2161.133333333333
2016-09-15,1139.9333333333334,2161.133333333333
2016-09-16,1139.9333333333334,2161.133333333333
2016-09-17,1139.9333333333334,2161.133333333333
2016-09-18,1139.9333333333334,2161.133333333333
2016-09-19,1139.9333333333334,2161.133333333333
2016-09-20,1139.9333333333334,2161.133333333333
2016-09-21,1139.9333333333334,2161.133333333333
2016-09-22,1139.9333333333334,2161.133333333333
2016-09-23,1139.9333333333334,2161.133333333333
2016-09-24,1139.9333333333334,2161.133333333333
2016-09-25,1139.9333333333334,2161.133333333333
2016-09-26,1139.9333333333334,2161.133333333333
2016-09-27,1139.9333333333334,2161.133333333333
2016-09-28,1139.9333333333334,2161.133333333333
2016-09-29,1139.9333333333334,2161.133333333333
2016-09-30,1139.9333333333334,2161.133333333333
2016-10-01,924.9677419354839,1837.8709677419354
2016-10-02,924.9677419354839,1837.8709677419354
2016-10-03,924.9677419354839,1837.8709677419354
2016-10-04,924.9677419354839,1837.8709677419354
2016-10-05,924.9677419354839,1837.8709677419354
2016-10-06,924.9677419354839,1837.8709677419354
2016-10-07,924.9677419354839,1837.8709677419354
2016-10-08,924.9677419354839,1837.8709677419354
2016-10-09,924.9677419354839,1837.8709677419354
2016-10-10,924.9677419354839,1837.8709677419354
2016-10-11,924.9677419354839,1837.8709677419354
2016-10-12,924.9677419354839,1837.8709677419354
2016-10-13,924.9677419354839,1837.8709677419354
2016-10-14,924.9677419354839,1837.8709677419354
2016-10-15,924.9677419354839,1837.8709677419354
2016-10-16,924.9677419354839,1837.8709677419354
2016-10-17,924.9677419354839,1837.8709677419354
