Datum;Verkaufsoffen
2012-06-03;1
2013-01-06;1
2013-03-03;1
2013-10-06;1
2013-11-03;1
2014-03-02;1
2014-03-30;1
2014-10-05;1
2014-11-02;1
2015-10-04;1
2015-11-08;1
2015-12-06;1
2016-01-03;1
2016-03-06;1
2016-10-02;1
2016-11-06;1
2017-06-11;1
2017-07-16;1
2017-10-01;1
2017-11-05;1
2018-03-04;1
2018-07-01;1
2018-10-07;1
2018-11-04;1
2019-03-03;1
2019-04-28;1
2019-10-03;1
2019-11-03;1
